"都道府県","lon","lat","age0_4(%)","age5_9(%)","age10_14(%)","age15_19(%)","age20_24(%)","age25_29(%)","age30_34(%)","age35_39(%)","age40_44(%)","age45_49(%)","age50_54(%)","age55_59(%)","age60_64(%)","age65_69(%)","age70_74(%)","age75_79(%)","age80_84(%)","age85_89(%)","age90_94(%)","age95_99(%)","over100(%)","unknown(%)"
"長崎県",129.8737562,32.7448388,4.12488549382911,4.44035130878714,4.99173312755514,4.97736509999096,4.14500073241897,4.80200507576857,5.44029593931506,6.22408936492617,5.84792739450188,6.08945043345886,6.72851226433806,7.81662752255255,8.02324676771946,6.08019882546631,5.87315905266338,5.55713253419065,4.35855868358029,2.56437752447997,1.08243813512815,0.317848804895502,0.0490615575362407,0.465734356897599
"長野県",138.1809557,36.6512986,4.17947184811347,4.62449981393287,4.93581961756121,4.59346539685725,3.91684077067563,4.85312311697048,6.01742480309638,7.12012224215301,6.45878253096821,6.09050435109032,5.98852748659782,6.72317903931754,7.78336676037388,6.61655630400534,5.69212092830074,5.33424949905898,4.53585659869293,2.74937989239234,1.14906322983727,0.32530387479564,0.0464587081970351,0.265883187011632
"鳥取県",134.2377356,35.5038906,4.10775531837185,4.44631684806521,4.68787956518711,4.73340615322415,4.20900101415571,5.13176379854825,5.92779958788245,6.48906767323461,5.58482129964819,5.83929454173582,6.45509260753533,7.44121888945703,8.00129784750971,6.09257865652398,5.54710897672198,5.48034797262289,4.57236434180955,2.79920566296395,1.17536739786671,0.371517343421663,0.0567383597178031,0.850056143796068
"島根県",133.0504997,35.4722952,3.96224126947841,4.29357803280471,4.59870894358354,4.5858848029752,3.7563580555815,4.61752697599795,5.52622885236487,6.19503566365625,5.40426012375296,5.60833123082477,6.28118043426443,7.33345692831166,8.42169677319531,6.33721635300956,6.02163097977828,6.30404085882712,5.15460756038846,3.1742535862291,1.42027357237346,0.425984496729147,0.0717873088401541,0.505717197033163
"東京都",139.6917064,35.6894875,3.80161296254811,3.68028513180096,3.74484740475773,4.15348342947256,5.97224582176618,7.21427166673709,7.89374095512648,8.84582930452389,8.00365488121484,6.8814826342988,5.62405333743484,5.78115030881375,6.88416512986774,5.86194433966078,4.97691078034936,4.13814077068022,2.78411123678396,1.49919585926032,0.609785196697597,0.180137556548982,0.0284511711334904,1.44050012052232
"徳島県",134.5593601,34.0657179,3.68393781723788,4.10469375206081,4.50889952908436,4.47325303536259,4.30520527924572,4.95371684716948,5.7199891532812,6.56493836339309,5.77269504042694,5.81801701101604,6.36175334917905,7.56151248072861,8.53173365449127,6.3758846377616,5.83100251944325,5.79408293666,4.65237666631444,2.61161490074361,1.09485659288267,0.317635720842123,0.0479954576182286,0.914205255057028
"栃木県",139.8835651,36.565725,4.20385090674175,4.53766854627947,4.69800262292404,4.6588530161385,4.67170365042689,5.63575026535564,6.5579576058571,7.53923801715709,6.55178133201307,6.18090604941119,6.45619851341073,7.53276289135287,8.03338973333938,6.07715461056352,5.01189679844876,4.36886699742938,3.41931470257008,1.95344583781404,0.762819628397511,0.206755747794846,0.0257012685767624,0.915981257997403
"奈良県",135.8327421,34.6853345,3.93545356414664,4.37615297188319,4.82520517902119,5.17545162229926,5.17402379334175,5.14018424704868,5.78720493914593,7.18162269905363,6.58250566848096,6.17614554717261,5.89914672941499,6.92011582548503,8.43554208954201,7.12872163617776,5.6995362411546,4.62245346705427,3.3717466917203,1.91564672084802,0.80786562416115,0.244729883317818,0.0359098982814651,0.564634961248722
"富山県",137.2113383,36.6952907,3.90927210410822,4.41025678552056,4.66344751003204,4.35263028391571,4.03120246385309,4.90950352482102,6.04072089838801,7.49482962221712,6.31403516314245,5.84259549763228,5.81963636762781,6.91161283772103,8.84338123040813,6.89212959194034,5.74170338450506,5.3391411090083,4.18377548714975,2.43650337023564,1.09408029475498,0.340453712655969,0.0506747331572828,0.378414027205197
"福井県",136.2215269,36.0651779,4.29534895834625,4.59647234204045,5.02236101568372,4.79875085884655,4.32858663002255,5.0345150896549,5.93453666933726,6.8811902062968,6.0296609013362,6.1314822761356,6.19299677296934,6.96254808920594,7.90672120290606,6.1927487306434,5.38413074807085,5.21409773363727,4.24090366780187,2.44445712216333,1.08989798019134,0.312533330687549,0.0422912165731961,0.963768457449579
"福岡県",130.418297,33.6065756,4.39419176146222,4.43520148392103,4.65894106587423,5.06560766944902,5.43781033318822,5.92549085483189,6.58054230626061,7.30458078599865,6.35260317099792,5.92336150385807,6.07028672105187,7.08565195994927,7.89665865399782,6.05297588628319,5.19455170064164,4.52441734648168,3.34586101489599,1.93287891406255,0.809646275370822,0.248838320746503,0.0395507227174935,0.720351547959293
"福島県",140.4675514,37.7502986,4.03678740542437,4.55692871195783,5.01201539231882,4.99688526335296,4.36945310744264,5.15104501385861,5.89153422464742,6.42729849822381,5.83815986090138,6.18023877019158,6.78204334609455,7.70177776551159,7.59892245882831,5.88916860187752,5.53471945685301,5.36814018680534,4.35417512705366,2.46483107482071,0.960294993159408,0.256177232457922,0.0337594082788912,0.595644099939677
"兵庫県",135.1830706,34.6912688,4.22720790646894,4.51861113541857,4.8414917826759,4.80858275921493,4.90521610706116,5.39271345188098,6.2833150177349,7.7656884687605,6.93312059680756,6.31429137423894,5.84202272923712,6.60732305405043,8.05678748161506,6.71997248454895,5.46948327822548,4.63806069039516,3.2977024705747,1.80206877681687,0.744094673480391,0.226569410570579,0.0343227335498278,0.571353616673046
"北海道",141.3468074,43.0646147,3.64986754549554,3.98044536748838,4.30688256741813,4.69506588583252,4.79776420937092,5.26071481302095,6.13943472154952,7.14640495029528,6.43281958746692,6.3524406696984,6.34116292276341,7.63993804321829,8.43261291957623,6.60318439261524,5.89041625782564,5.15425724050422,3.75265667214936,2.11996217505424,0.867732731562927,0.238902996666254,0.0362486036750927,0.161084726752541
"和歌山県",135.1675086,34.2259867,3.72720759770026,4.22481385913762,4.82040475035871,4.68929293413078,4.09240489404289,4.6296240862584,5.34754609368608,6.71523990269388,6.1501819001834,6.18580360367911,6.17193408887266,6.98115542038599,8.36371655102086,7.06696680695831,6.09630033187055,5.6200471363942,4.35612523672967,2.49292056060778,1.05138904687497,0.298244458679822,0.0432050353323395,0.875475704401725
